DATAFLOW,MEASURE,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2019-Q1,471.5,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2019-Q2,490,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2019-Q3,480,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2019-Q4,517,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2020-Q1,529,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2020-Q2,520,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2020-Q3,528.5,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2020-Q4,567.7,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2021-Q1,610,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2021-Q2,630,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2021-Q3,700,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2021-Q4,754,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2022-Q1,765,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2022-Q2,765,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2022-Q3,720,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2022-Q4,731.5,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2023-Q1,705,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2023-Q2,696.5,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2023-Q3,695,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2023-Q4,715,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2024-Q1,705,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2024-Q2,690.5,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2024-Q3,700,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2024-Q4,715,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2025-Q1,715,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2025-Q2,715,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2025-Q3,720,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2025-Q4,750,,,,
ABS:RES_DWELL(1.0.0),3,6GHOB,Q,2026-Q1,740,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2002-Q1,190,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2002-Q2,190,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2002-Q3,195,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2002-Q4,206,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2003-Q1,216,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2003-Q2,225,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2003-Q3,236,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2003-Q4,250,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2004-Q1,255,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2004-Q2,262,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2004-Q3,259,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2004-Q4,280,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2005-Q1,290,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2005-Q2,300,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2005-Q3,315,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2005-Q4,340,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2006-Q1,370,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2006-Q2,415,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2006-Q3,450,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2006-Q4,470,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2007-Q1,475,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2007-Q2,465,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2007-Q3,475,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2007-Q4,480,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2008-Q1,470,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2008-Q2,455,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2008-Q3,440,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2008-Q4,425,,,,
ABS:RES_DWELL(1.0.0),3,5GPER,Q,2009-Q1,439,,,,
